JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455436.36753,15.042,0.029,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.494,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36825,15.008,0.028,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.503,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36898,15.061,0.028,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.503,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.36971,15.025,0.027,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.511,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37043,15.051,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.518,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37116,15.048,0.021,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.517,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37189,15.018,0.023,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.512,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37260,15.062,0.030,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.512,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37333,15.069,0.026,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.506,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37406,15.075,0.023,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.502,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37478,15.096,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.515,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37551,15.086,0.032,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.503,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37624,15.047,0.024,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.519,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37696,15.055,0.027,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.497,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37769,15.036,0.022,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.530,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37840,15.033,0.026,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.523,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37913,15.045,0.022,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.504,,VSX J205126.1+440523,BAA-VSS,STD,,,,
2455436.37986,15.047,0.025,,V,PXR,,ENSEMBLE,CMC14 205149.2+44033,GUIDE8 + CMC14,,0,,Z,,13.505,,VSX J205126.1+440523,BAA-VSS,STD,,,,
